,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
1344112,8119774,0.9,MIS,2,,,"POLYGON ((540174.4560000002 6358109.338000003, 540174.2710000053 6358109.694000002, 540163.0170000046 6358138.4810000025, 540260.6040000021 6358197.713000003, 540332.9470000044 6358264.996000003, 540357.4420000017 6358238.7190000005, 540286.1939999983 6358161.087000001, 540267.0179999992 6358150.388, 540259.1850000024 6358145.759, 540226.8220000044 6358127.654000003, 540224.5680000037 6358126.703000002, 540176.0860000029 6358105.176000003, 540174.4560000002 6358109.338000003))",Maïs,2015,,,,8997.7972929263
880857,5321690,5.42,MIS,2,,,"POLYGON ((459178.1279999986 6260172.172000002, 459153.8049999997 6260238.165000003, 459132.02700000256 6260303.2200000025, 459095.8779999986 6260388.318, 459063.7780000046 6260463.123, 459069.4530000016 6260463.400000002, 459306.0460000038 6260474.959000003, 459305.7110000029 6260439.689000003, 459306.6169999987 6260303.9700000025, 459306.61400000006 6260179.046, 459179.35400000215 6260171.758000001, 459178.1279999986 6260172.172000002))",Maïs,2015,,,,54233.76998776458
1063864,6429688,9.27,MIS,2,,,"POLYGON ((590650.689000003 6232396.991, 590670.1670000032 6232390.528000001, 590717.6590000018 6232374.771000002, 590753.5310000032 6232362.869000003, 590837.3819999993 6232330.505000003, 590839.8220000044 6232329.674000002, 590913.9870000035 6232304.402000003, 590915.752000004 6232303.993000001, 590921.3999999985 6232302.682, 590922.814000003 6232302.354000002, 590927.9180000052 6232301.170000002, 590938.1730000004 6232298.791000001, 590950.2210000008 6232295.996000003, 591000.5680000037 6232284.316, 590971.9350000024 6232192.748, 590889.2019999996 6232021.801000003, 590888.9280000031 6232021.234000001, 590886.6400000006 6232022.006000001, 590862.826000005 6232030.039000001, 590847.2990000024 6232035.276000001, 590841.4640000015 6232037.244000003, 590840.1359999999 6232037.692000002, 590823.9280000031 6232043.159000002, 590813.8460000008 6232046.560000002, 590681.2349999994 6232091.290000003, 590632.6630000025 6232168.392000001, 590637.2290000021 6232221.637000002, 590637.2459999993 6232222.170000002, 590636.1030000001 6232275.988000002, 590635.9600000009 6232277.074000001, 590603.8030000031 6232408.043000001, 590650.689000003 6232396.991))",Maïs,2015,,,,92671.12322031718
358348,2164621,3.73,MIS,2,,,"POLYGON ((591356.2320000008 6329624.251000002, 591373.0240000039 6329618.464000002, 591390.7239999995 6329610.749000002, 591399.9109999985 6329605.563000001, 591398.0280000046 6329601.909000002, 591401.6740000024 6329600.142000001, 591403.7370000035 6329603.441, 591430.3220000044 6329588.511, 591434.3269999996 6329586.526000001, 591406.5390000045 6329522.386, 591394.4650000036 6329496.906000003, 591396.5710000023 6329495.862, 591373.6340000033 6329469.551900003, 591351.126000002 6329443.734000001, 591350.8002000004 6329443.789900001, 591352.0500000045 6329445.437000003, 591351.5520000011 6329446.416000001, 591319.7070000023 6329450.374000002, 591262.5 6329462.875, 591177.3030000031 6329482.197000001, 591155.5980000049 6329487.6479, 591176.6469999999 6329534.597900003, 591177.8709999993 6329534.049000002, 591206.2360000014 6329596.9070000015, 591219.1710000038 6329622.776000001, 591230.6897 6329648.469100002, 591230.7730000019 6329648.655000001, 591248.6710000038 6329646.262000002, 591276.1279999986 6329641.951000001, 591276.7110000029 6329641.842, 591276.1590000018 6329639.556000002, 591279.2390000001 6329638.757000003, 591279.938000001 6329641.242000002, 591305.4010000005 6329636.505000003, 591330.5900000036 6329631.399, 591356.2320000008 6329624.251000002))",Maïs,2015,,,,37292.33971620707
235714,1423296,0.42,MIS,2,,,"POLYGON ((543928.7980000004 6382243.918000001, 543930.7390000001 6382280.312000003, 544011.2600000054 6382286.401000001, 544028.0549999997 6382287.580000002, 544026.2670000046 6382251.66, 544014.0022 6382235.7645, 544005.4032000005 6382236.690500002, 543928.7980000004 6382243.918000001))",Maïs,2015,,,,4233.881430684129
1051887,6357099,0.68,MIS,2,,,"POLYGON ((549976.4275000021 6241921.141900003, 549988.2260000035 6241969.152200002, 550018.0289999992 6241963.418400001, 550006.1350999996 6241914.309100002, 550006.1350999996 6241914.308700003, 550006.1350999996 6241914.308600001, 550005.8570000008 6241912.081400003, 550005.939000003 6241912.1094, 550006.7370000035 6241912.398000002, 549999.1696000025 6241883.555800002, 549983.9541999996 6241816.4081000015, 549966.0254000053 6241750.186700001, 549949.4294000044 6241751.6022000015, 549941.9642000049 6241748.574300002, 549935.4488999993 6241749.2027, 549976.4275000021 6241921.141900003))",Maïs,2015,,,,6843.38454757792
490927,2964075,26.96,MIS,2,,,"POLYGON ((466068.4259000048 6298418.7588, 465992.8753000051 6298336.360200003, 465992.8752000034 6298336.360100001, 465986.314199999 6298331.440200001, 465986.31400000304 6298331.440100003, 465976.8530000001 6298327.150200002, 465976.8528999984 6298327.1501, 465945.39150000364 6298316.898400001, 465914.750500001 6298308.323200002, 465863.86299999803 6298294.454400003, 465863.8629000038 6298294.454400003, 465811.8350000009 6298281.7929, 465789.27369999886 6298273.874700002, 465789.2736000046 6298273.874600001, 465766.4492999986 6298268.831500001, 465766.44920000434 6298268.831500001, 465734.2331000045 6298266.441, 465734.2330000028 6298266.441, 465706.0799999982 6298266.104000002, 465678.9541000053 6298266.898000002, 465678.95390000194 6298266.8979, 465659.8158000037 6298259.1677, 465659.8147 6298259.1679, 465658.1106000021 6298260.791500002, 465659.82990000397 6298259.0722, 465659.8299999982 6298259.071000002, 465659.82880000025 6298259.070600003, 465651.01220000535 6298262.454400003, 465651.0117999986 6298262.454700001, 465625.10680000484 6298296.760900002, 465625.10680000484 6298296.761, 465619.5505999997 6298305.492200002, 465619.55049999803 6298305.492200002, 465615.31720000505 6298312.6358, 465615.31710000336 6298312.636100002, 465611.1328999996 6298330.124500003, 465611.1328000054 6298330.124600001, 465602.4004999995 6298353.2535, 465602.4004000053 6298353.253600001, 465571.7089000046 6298398.497200001, 465571.70880000293 6298398.497500002, 465565.62359999865 6298414.901100002, 465565.62370000035 6298414.901900001, 465567.6077999994 6298417.9441, 465567.6079000011 6298417.9443, 465749.7734000012 6298603.814000003, 465749.77329999954 6298603.814600002, 465647.70910000056 6298654.2250000015, 465647.7089000046 6298654.225100003, 465633.66710000485 6298664.3409, 465633.66690000147 6298664.3411, 465629.5280000046 6298669.9399, 465629.5280000046 6298669.940000001, 465627.74920000136 6298671.6393, 465627.7490000054 6298671.640500002, 465627.7501000017 6298671.641000003, 465635.9593999982 6298669.650800001, 465635.9594999999 6298669.650900003, 465635.9594999999 6298669.651100002, 465634.90089999884 6298671.083100002, 465634.90100000054 6298671.084400002, 465643.9453999996 6298680.179300003, 465644.04680000246 6298680.284400001, 465653.9054000005 6298690.794800002, 465673.0332000032 6298710.446700003, 465673.0332000032 6298710.446800001, 465681.74549999833 6298717.940300003, 465681.88410000503 6298718.064100001, 465751.93910000473 6298783.001500003, 465751.93910000473 6298783.001600001, 465882.7606000006 6298896.546300001, 465884.28890000284 6298897.871600002, 465884.29389999807 6298897.8759, 465891.2272000015 6298903.9048000015, 465891.2273000032 6298903.9048000015, 465963.31109999865 6298965.276000001, 466010.2299000025 6299003.1756, 466019.1423000023 6298993.281800002, 466040.17670000345 6298968.807800002, 466040.17680000514 6298968.807800002, 466051.7945000008 6298958.079500001, 466067.6721000001 6298938.302100003, 466067.7748000026 6298938.178400002, 466074.12480000407 6298930.770000003, 466074.3281000033 6298930.546800002, 466090.2031000033 6298914.1426, 466091.8448000029 6298913.016200002, 466091.8449999988 6298913.016100001, 466093.7960000038 6298912.6197, 466117.60869999975 6298912.6197, 466117.9826000035 6298912.633700002, 466117.9827000052 6298912.633700002, 466139.1251000017 6298914.2194, 466163.4425000027 6298915.805300001, 466164.01150000095 6298915.875400003, 466164.01160000265 6298915.875400003, 466186.4734000042 6298919.959400002, 466186.4738000035 6298919.959400002, 466209.6323999986 6298916.435200002, 466209.6325000003 6298916.435200002, 466219.81670000404 6298913.3356, 466219.81720000505 6298913.335200001, 466235.93670000136 6298890.499200001, 466178.27130000293 6298852.340800002, 466110.7041000053 6298805.4103000015, 466110.70390000194 6298805.410100002, 466099.5399999991 6298789.437400002, 466099.5398000032 6298789.436800003, 466099.5398000032 6298785.9606, 466099.53990000486 6298785.960200001, 466117.0249999985 6298747.7914, 466117.0252000019 6298747.791100003, 466128.4153999984 6298735.437100001, 466133.870099999 6298729.750600003, 466139.9193999991 6298714.688900001, 466139.9199000001 6298714.6884, 466152.2529000044 6298708.883400001, 466152.25349999964 6298708.883300003, 466163.6350999996 6298711.238500003, 466169.077700004 6298710.674200002, 466157.63369999826 6298701.528000001, 466129.85240000486 6298680.0967000015, 466129.8519999981 6298680.095900003, 466130.11659999937 6298610.510400001, 466126.94160000235 6298586.9626, 466120.85620000213 6298561.827200003, 466113.7124999985 6298540.131300002, 466107.6270999983 6298522.933400001, 466107.62700000405 6298522.933000002, 466108.5923999995 6298507.372300003, 466108.47210000455 6298498.878200002, 466085.18890000135 6298469.641900003, 466085.18879999965 6298469.641700003, 466071.5627000034 6298433.261400003, 466071.5626000017 6298433.2612, 466069.578200005 6298421.751800001, 466069.57880000025 6298421.750700001, 466069.5799999982 6298421.7509, 466071.008600004 6298423.395100001, 466068.4252000004 6298418.759500001, 466068.42549999803 6298418.758400001, 466068.4259000048 6298418.7588))",Maïs,2015,,,,269594.5477277894
330667,1996815,7.53,MIS,2,,,"POLYGON ((508533.9100000039 6259559.700000003, 508531.62000000477 6259555.550000001, 508525.2400000021 6259521.770000003, 508514.7700000033 6259396.330000002, 508458.1600000039 6259410.060000002, 508418.62000000477 6259403.400000002, 508364.62000000477 6259405.34, 508330.4699999988 6259398.870000001, 508274.3900000006 6259399.560000002, 508214.4900000021 6259379.120000001, 508171.7800000012 6259349.6000000015, 508102.4699999988 6259327.640000001, 508092.25 6259393.520000003, 508094.01000000536 6259438.6000000015, 508097.5799999982 6259511.130000003, 508225.7700000033 6259551.990000002, 508310.2300000042 6259579.830000002, 508349.4299999997 6259592.020000003, 508456.7800000012 6259574.880000003, 508458.19000000507 6259574.780000001, 508533.9100000039 6259559.700000003))",Maïs,2015,,,,75307.66620062987
1259459,7606189,3.0,MIS,2,,,"POLYGON ((581098.9120000005 6275777.68, 581096.5219999999 6275777.838000003, 581125.6190000027 6275842.330000002, 581125.1979999989 6275846.202, 581069.5240000039 6275867.385000002, 580997.7749999985 6275895.684, 581019.6150000021 6275963.141000003, 581036.1860000044 6276014.389000002, 581072.2580000013 6276003.559, 581073.7870000005 6276008.461000003, 581080.0139999986 6276028.099000003, 581093.5390000045 6276071.130000003, 581133.212000005 6276052.489, 581138.762000002 6276046.029000003, 581144.9230000004 6276015.769000001, 581152.5949999988 6275989.383000001, 581162.6810000017 6275949.471000001, 581169.6330000013 6275918.275000002, 581174.8889999986 6275889.622000001, 581176.9270000011 6275846.580000002, 581175.076000005 6275816.267000001, 581176.4280000031 6275786.727000002, 581186.700000003 6275769.129000001, 581191.1080000028 6275756.448000003, 581184.9730000049 6275754.839000002, 581172.2560000047 6275766.842, 581151.612999998 6275775.825000003, 581130.925999999 6275778.406000003, 581109.3969999999 6275776.987, 581098.9120000005 6275777.68))",Maïs,2015,,,,30036.53959819403
1122082,6779659,2.39,MIS,2,,,"POLYGON ((579940.8960000053 6302933.068, 579921.813000001 6302937.573000003, 579899.064000003 6302940.859000001, 579869.9479999989 6302948.534000002, 579843.4560000002 6302955.738000002, 579816.9790000021 6302964.890000001, 579794.7300000042 6302973.087000001, 579794.5683000013 6302973.526500002, 579802.3361000046 6302975.613300003, 579800.5117000043 6302976.285500001, 579812.0945999995 6302984.166100003, 579812.5019000024 6302984.474800002, 579826.9089000002 6302996.601800002, 579827.7122000009 6302997.458100002, 579836.2701999992 6303009.055100001, 579836.6666000038 6303009.685800001, 579844.8066000044 6303025.071800001, 579845.2776000053 6303026.3697, 579849.0936000049 6303044.309700001, 579849.2027999982 6303045.308200002, 579849.373800002 6303065.7842000015, 579850.4655999988 6303076.1745, 579850.4712000042 6303077.163800001, 579849.7480000034 6303084.8752, 579854.5833000019 6303089.630600002, 579857.9567000046 6303090.467800003, 579861.3827000037 6303095.883100003, 579866.0050000027 6303093.808000002, 579938.8669999987 6303060.019100003, 580005.693400003 6303030.4287, 580040.9189999998 6303015.099000003, 580017.5978000015 6302965.188700002, 580017.9184000045 6302965.063300002, 579993.6833000034 6302908.304400001, 579940.8960000053 6302933.068))",Maïs,2015,,,,23917.59193210991
