,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
187842,1133906,9.71,TRN,6,,,"POLYGON ((535959.5590000004 6273361.310000002, 535992.7040000036 6273356.459000003, 536016.9919999987 6273538.346000001, 536061.5420000032 6273528.3560000025, 536097.7740000039 6273522.331, 536109.6710000038 6273521.093000002, 536122.949000001 6273521.323000003, 536156.125 6273520.138, 536180.6950000003 6273516.0380000025, 536186.1290000007 6273512.0950000025, 536175.1719999984 6273369.712000001, 536133.6340000033 6273375.427000001, 536133.5810000002 6273374.996000003, 536067.7710000053 6273384.303000003, 536059.6359999999 6273329.083000001, 536059.2440000027 6273329.132000003, 536053.0769999996 6273288.8500000015, 536053.3530000001 6273288.815000001, 536048.1019999981 6273236.759, 536042.1920000017 6273237.483000003, 535956.8980000019 6273247.921, 535860.425999999 6273263.138, 535741.112999998 6273282.670000002, 535678.4589999989 6273291.202, 535655.0210000053 6273293.3450000025, 535632.4849999994 6273294.561000001, 535636.3910000026 6273335.086000003, 535639.4519999996 6273348.857000001, 535732.7290000021 6273335.275000002, 535758.5989999995 6273556.058000002, 535805.7080000043 6273549.088000003, 535819.9980000034 6273548.522, 535829.1960000023 6273548.522, 535866.6829999983 6273547.258000001, 535883.3889999986 6273546.549000002, 535906.262000002 6273544.871000003, 535928.451000005 6273542.738000002, 535903.438000001 6273369.7880000025, 535903.4350000024 6273369.448000003, 535931.6609999985 6273365.318, 535959.5590000004 6273361.310000002))",Tournesol,2015,,,,97114.94925996698
139550,841881,3.76,TRN,6,,,"POLYGON ((617335.7450000048 6307438.935000002, 617335.7448000014 6307438.934900001, 617335.7443000004 6307438.934700001, 617335.7441999987 6307438.934600003, 617317.1050999984 6307426.036000002, 617311.5705000013 6307422.206, 617311.570100002 6307422.205800001, 617311.5697000027 6307422.205700003, 617311.5691 6307422.205800001, 617311.568900004 6307422.205900002, 617311.568400003 6307422.206100002, 617311.567900002 6307422.206500001, 617272.754200004 6307484.987200003, 617272.7541000023 6307484.9877, 617272.7541000023 6307484.9881, 617272.7542999983 6307484.988700002, 617272.7545000017 6307484.989, 617272.754700005 6307484.9892, 617281.4976000041 6307491.0667, 617358.9228000045 6307543.115200002, 617358.9228999987 6307543.115400001, 617358.9230000004 6307543.115500003, 617358.9231000021 6307543.115700003, 617358.9231000021 6307543.115800001, 617359.8330000043 6307552.676000003, 617360.8530000001 6307567.806000002, 617360.8532000035 6307567.806500003, 617360.8533999994 6307567.8068, 617360.8535000011 6307567.806900002, 617360.8536000028 6307567.807, 617360.8539000005 6307567.8072, 617360.8541000038 6307567.807300001, 617360.8544000015 6307567.807400003, 617400.4686000049 6307572.320800003, 617400.4690000042 6307572.321000002, 617400.4690000042 6307572.3211, 617400.4690999985 6307572.3215, 617399.8612999991 6307575.295300003, 617399.8615000024 6307575.296100002, 617399.8618000001 6307575.296500001, 617399.8614000008 6307575.2973, 617399.860799998 6307575.297800001, 617392.1088000014 6307610.049700003, 617392.108599998 6307610.050000001, 617390.125500001 6307611.7842000015, 617390.125 6307611.784300003, 617237.2251000032 6307535.5524, 617237.2239000052 6307535.552700002, 617218.8840000033 6307561.807, 617218.8840000033 6307561.807100002, 617212.444600001 6307571.820100002, 617212.4450000003 6307571.8215, 617349.895100005 6307640.138300002, 617349.8960999995 6307640.1382, 617349.8964000046 6307640.138, 617352.3269000053 6307640.304000001, 617352.3269999996 6307640.304000001, 617353.2142000049 6307640.680300001, 617465.0829000026 6307688.1261, 617465.0830000043 6307688.1261, 617507.2127000019 6307702.2255000025, 617507.2140000015 6307702.224600002, 617508.6660000011 6307629.769000001, 617504.2370000035 6307530.9714, 617504.2371999994 6307530.971000001, 617508.3471999988 6307527.510000002, 617508.3469000012 6307527.508300003, 617433.4201000035 6307499.618800003, 617433.4189999998 6307499.619100001, 617432.4081000015 6307500.933200002, 617432.4074999988 6307500.9333, 617335.7450000048 6307438.935000002), (617414.5227999985 6307575.237, 617414.5229000002 6307575.237, 617414.5230000019 6307575.237100001, 617414.5230000019 6307575.237200003, 617414.5225000009 6307575.237600002, 617414.522300005 6307575.237600002, 617414.5222000033 6307575.237500001, 617414.522300005 6307575.237400003, 617414.5227999985 6307575.237))",Tournesol,2015,,,,37550.81419064284
1564874,9453515,3.38,TRN,6,,,"POLYGON ((546655.837000005 6298001.960000001, 546655.8810000047 6298001.753000002, 546661.6330000013 6297985.551000003, 546679.5260000005 6297934.9070000015, 546680.2269999981 6297932.923, 546603.2150000036 6297932.789000001, 546557.3840000033 6297947.465, 546557.1450000033 6297947.5370000005, 546509.7590000033 6297960.169, 546508.6310000047 6297960.338000003, 546479.6790000051 6297961.268000003, 546476.9959999993 6297960.591000002, 546441.1389999986 6297939.631000001, 546430.987999998 6297935.184, 546430.8960000053 6297935.373, 546403.4140000045 6297992.129000001, 546402.7789999992 6297993.307, 546523.7190000042 6298093.504000001, 546607.925999999 6298156.373, 546607.9840000048 6298155.839000002, 546614.262000002 6298161.5370000005, 546617.9640000015 6298135.937000003, 546618.0850000009 6298135.1000000015, 546618.7920000032 6298130.351, 546618.9650000036 6298129.155000001, 546619.0080000013 6298128.858000003, 546619.0500000045 6298128.561000001, 546619.1110000014 6298128.140000001, 546619.5310000032 6298125.234000001, 546621.175999999 6298113.724000003, 546629.3480000049 6298087.423, 546631.112999998 6298081.729000002, 546633.627000004 6298073.620000001, 546636.1240000054 6298065.563000001, 546638.1640000045 6298058.9810000025, 546638.4610000029 6298058.024, 546639.1799999997 6298055.702, 546644.8929999992 6298037.269000001, 546649.0530000031 6298023.849000003, 546655.6620000005 6298002.525000002, 546655.837000005 6298001.960000001))",Tournesol,2015,,,,33768.37275712506
1036094,6261084,0.94,TRN,6,,,"POLYGON ((484213.3950000033 6248098.966000002, 484141.1010000035 6248099.499000002, 484172.08900000155 6248226.861000001, 484230.436999999 6248205.012000002, 484248.186999999 6248198.451000001, 484251.65100000054 6248192.055, 484248.4970000014 6248183.365000002, 484242.0879999995 6248164.063000001, 484231.8269999996 6248136.803000003, 484217.6070000008 6248101.954, 484213.3950000033 6248098.966000002))",Tournesol,2015,,,,9369.597734680105
1169290,7064460,0.58,TRN,6,,,"POLYGON ((484890.88880000263 6307928.4428, 484853.2430000007 6307961.0123, 484867.13369999826 6307984.9571, 484881.1565999985 6308009.695700001, 484916.7432000041 6307987.206100002, 484956.563000001 6307963.525800001, 484939.62970000505 6307930.8497, 484921.7703000009 6307897.115200002, 484890.88880000263 6307928.4428))",Tournesol,2015,,,,5755.995215996276
996188,6018756,2.11,TRN,6,,,"POLYGON ((517751.701000005 6308638.903000001, 517749.3650000021 6308644.812000003, 517750.388000004 6308646.522, 517751 6308649.264000002, 517765.5080000013 6308669.215, 517770.5830000043 6308676.193, 517771.05900000036 6308676.939000003, 517771.16400000453 6308677.296, 517771.9830000028 6308677.986000001, 517787.1030000001 6308690.729000002, 517786.45899999887 6308692.045000002, 517788.3040000051 6308694.786000002, 517824.938000001 6308665.107000001, 517858.74599999934 6308636.947000001, 517862.0370000005 6308634.999000002, 517863.36900000274 6308634.709000003, 517869.7650000006 6308625.655000001, 517876.688000001 6308615.854000002, 517884.5949999988 6308621.440000001, 517888.1300000027 6308613.610000003, 517887.1649999991 6308607.936000001, 517886.1630000025 6308602.050000001, 517879.6019999981 6308596.148000002, 517879.4060000032 6308595.971000001, 517860.201000005 6308588.414000001, 517859.1600000039 6308588.005000003, 517868.8660000041 6308558.967, 517870.3720000014 6308559.432, 517886.80700000376 6308564.512000002, 517899.56500000507 6308543.857000001, 517916.013000004 6308525.772, 517907.6850000024 6308513.716000002, 517875.5540000051 6308467.201000001, 517798.7349999994 6308476.118000001, 517797.83399999887 6308476.998, 517796.8530000001 6308484.785, 517783.251000002 6308553.354000002, 517773.1620000005 6308583.693, 517771.0549999997 6308589.607000001, 517766.37000000477 6308601.795000002, 517751.701000005 6308638.903000001))",Tournesol,2015,,,,21064.890706739647
1232152,7442418,4.92,TRN,6,,,"POLYGON ((480455.7831000015 6317380.470200002, 480472.90470000356 6317369.643300001, 480473.41330000013 6317369.361700002, 480486.6424999982 6317363.011700001, 480487.017900005 6317362.8500000015, 480499.45329999924 6317358.087400001, 480500.2353999987 6317357.859000001, 480506.37680000067 6317356.5973000005, 480507.886300005 6317356.520400003, 480527.88980000466 6317358.544200003, 480537.0229000002 6317358.315300003, 480573.9622000009 6317350.361400001, 480588.45369999856 6317346.057400003, 480588.7796000019 6317345.9725, 480598.7199999988 6317343.735800002, 480608.6827000007 6317338.505400002, 480631.4003000036 6317326.09, 480631.7916999981 6317325.897700001, 480659.5729999989 6317313.7269, 480660.97940000147 6317313.342800003, 480685.05660000443 6317310.432300001, 480685.2827000022 6317310.4102, 480716.263000004 6317308.0867, 480737.30579999834 6317306.312900003, 480758.80180000514 6317303.644500002, 480770.9453000054 6317301.4749, 480769.8475000039 6317298.824900001, 480749.1904000044 6317254.6164, 480743.88159999996 6317244.883500002, 480740.65850000083 6317240.586000003, 480730.3624000028 6317229.117000002, 480718.89649999887 6317216.464900002, 480707.47150000185 6317204.383400001, 480703.5654999986 6317200.477300003, 480703.4528999999 6317200.508900002, 480699.7986000031 6317196.340500001, 480680.0615000054 6317196.795600001, 480662.60180000216 6317194.444500003, 480610.1772999987 6317180.703400001, 480575.8421000019 6317174.3061, 480554.36089999974 6317175.7489, 480530.45419999957 6317178.944000002, 480498.4167999998 6317185.983200002, 480453.6165000051 6317196.0689, 480424.2476999983 6317203.477300003, 480414.1935000047 6317210.885600001, 480407.0498000011 6317221.204400003, 480404.9331 6317230.4648, 480404.66849999875 6317237.873200003, 480407.0498000011 6317251.102400001, 480417.633100003 6317282.852400001, 480430.06859999895 6317317.7775, 480437.7415000051 6317340.796300001, 480438.00609999895 6317352.438000001, 480437.2164000049 6317356.386500001, 480440.2427000031 6317364.8422, 480445.61210000515 6317382.088400003, 480455.7831000015 6317380.470200002))",Tournesol,2015,,,,49167.64778928128
1059661,6404345,4.01,TRN,6,,,"POLYGON ((572581.4237000048 6306751.034600001, 572555.9693000019 6306763.555100001, 572495.6322000027 6306794.8233, 572486.8364000022 6306800.940400001, 572530.5249000043 6306836.596000001, 572601.6409000009 6306897.690000001, 572630.3149000034 6306931.556000002, 572671.0209000036 6306982.833000001, 572688.7828999981 6306998.4789, 572754.5520000011 6307042.857000001, 572758.5209000036 6306997.217, 572760.7700000033 6306973.206, 572765.6639000028 6306953.162900001, 572762.3570000008 6306913.41, 572743.5719000027 6306866.644000001, 572718.7009000033 6306817.035, 572701.5368999988 6306794.777800001, 572686.1568000019 6306774.833900001, 572625.6422000006 6306729.284400001, 572581.4237000048 6306751.034600001))",Tournesol,2015,,,,40136.68653906299
481177,2905020,7.33,TRN,6,,,"POLYGON ((533518.5965000018 6310335.135000002, 533513.3180000037 6310324.900800001, 533514.8176000044 6310317.9496, 533513.4083000049 6310295.175900001, 533510.064000003 6310268.437000003, 533489.4528999999 6310195.4701000005, 533482.1031000018 6310162.3805, 533476.3891000003 6310144.381000001, 533473.5518999994 6310136.701900002, 533428.6482999995 6310083.406300001, 533411.0534000024 6310100.075100001, 533397.1627999991 6310111.187600002, 533383.2721000016 6310114.891700003, 533360.121100001 6310108.409400001, 533332.3396999985 6310073.219800003, 533296.2880000025 6310088.952, 533277.4751000032 6310098.7249, 533260.1099000052 6310114.725100003, 533198.625 6310164.720200002, 533260.7490000054 6310216.123, 533260.3660999984 6310216.838100001, 533189.9161000028 6310270.615200002, 533160.0951000005 6310293.3533000015, 533376.5053000003 6310446.817200001, 533379.8452000022 6310442.809300002, 533425.4866000041 6310397.7335, 533426.9614000022 6310396.7255000025, 533428.6964000016 6310396.3002, 533430.4701000005 6310396.512000002, 533432.0562000051 6310397.333800003, 533445.4794000015 6310407.7009, 533475.3413000032 6310379.292100001, 533474.8687000051 6310378.761100002, 533478.7212999985 6310375.407900002, 533479.0379000008 6310375.249600001, 533480.3878000006 6310373.9439, 533298.5402000025 6310237.295400001, 533324.9985999987 6310209.249500003, 533509.8486000001 6310345.057700001, 533518.5965000018 6310335.135000002))",Tournesol,2015,,,,73281.73131005563
214049,1290958,2.61,TRN,6,,,"POLYGON ((548173.9125000015 6315769.270300001, 548173.0066 6315769.543400001, 548168.7732000053 6315770.138700001, 548162.820100002 6315769.808000002, 548154.2872999981 6315764.648600001, 548146.945100002 6315755.255800001, 548121.940700002 6315718.118500002, 548043.9118000045 6315774.8583, 548063.9290000051 6315803.974000003, 548091.6420999989 6315847.469100002, 548097.0349000022 6315852.720400002, 548104.2290000021 6315853.6855, 548121.4070000052 6315848.021000002, 548142.7507999986 6315841.549000002, 548151.2221000046 6315841.479000002, 548166.3564999998 6315845.128900003, 548171.3559999987 6315839.593000002, 548176.3599000052 6315835.895000003, 548180.9158999994 6315831.138300002, 548186.7726000026 6315827.2586, 548195.4681999981 6315823.471800003, 548201.2334000021 6315823.171700001, 548209.0341000035 6315824.839900002, 548296.1187999994 6315896.1259, 548352.0632999986 6315908.247100003, 548360.8773000017 6315884.312900003, 548364.3458000049 6315879.8651, 548240.2744000033 6315736.136500001, 548238.0262999982 6315737.3906, 548229.3612000048 6315742.582200002, 548224.7528000027 6315742.322500002, 548217.9919999987 6315746.343500003, 548209.7089000046 6315751.271400001, 548188.2185000032 6315765.997700002, 548181.9109999985 6315768.280700002, 548175.6933000013 6315769.405200001, 548173.9125000015 6315769.270300001))",Tournesol,2015,,,,26120.27381255522
